COMMON_NAME,BLD_ADDRESS,PARCEL_ADDRESS,STRUCTURE_TYPE,WARD,COMMUNITY,GLOBALID,MULTIPOLYGON
READER ROCK GARDEN DEPOT,3025 SPILLER RD SE,3025 SPILLER RD SE,MINOR DEPOT,WARD 9,MANCHESTER INDUSTRIAL,{B659CA77-1E53-4814-81A9-92B1E2118A2F},"MULTIPOLYGON (((-114.0549261 51.0298744, -114.0549245 51.0298813, -114.054909 51.0299522, -114.0550425 51.0299638, -114.0550595 51.029886, -114.0549261 51.0298744)))"
3221 31A AV SE HOUSING,3221 31A AV SE,3219 31A AV SE,HOUSING - DUPLEX,WARD 9,DOVER,{0D471D02-45D0-42F2-A36F-E326BC2E7B31},"MULTIPOLYGON (((-113.9874133 51.0252317, -113.9873208 51.025231, -113.9873199 51.0252767, -113.987312 51.0252766, -113.9873108 51.025339, -113.9874133 51.0253398, -113.9874133 51.0252317)))"
FIRE STATION #12,123 44 ST SE,123 44 ST SE,FIRE,WARD 9,FOREST HEIGHTS,{761A1D1E-A96C-46C3-AE0E-1E9010A78F43},"MULTIPOLYGON (((-113.9707668 51.051708, -113.9705171 51.0517079, -113.970437 51.0517079, -113.9704045 51.0517079, -113.9704031 51.0517079, -113.9704031 51.051721, -113.970307 51.051721, -113.9703069 51.0519315, -113.9703992 51.0519315, -113.9704495 51.0519315, -113.9704494 51.051962, -113.9705156 51.0519621, -113.9705156 51.0519421, -113.9707667 51.0519421, -113.9707668 51.051708)))"
MANCHESTER ASPHALT SPRAY BUILDING - DEMOLISHED,651 25 AV SE,651 25 AV SE,DEMOLISHED/REMOVED/RETIRED,WARD 9,MANCHESTER INDUSTRIAL,{7064C070-EC8B-4D3B-99C0-1994926E8AFD},"MULTIPOLYGON (((-114.049346 51.0249356, -114.0493663 51.0249172, -114.0493271 51.0248995, -114.0493073 51.0249177, -114.049346 51.0249356)))"
ELLISTON PARK COMFORT STATION,2024 60 ST SE,1827 68 ST SE,WASHROOM,WARD 9,09Q,{E76BEC1C-F32A-4753-A757-B13614A41B15},"MULTIPOLYGON (((-113.9448279 51.0353749, -113.9448 51.0353966, -113.944806 51.0353997, -113.9448247 51.0354093, -113.9448298 51.0354119, -113.9448577 51.0353902, -113.944854 51.0353883, -113.9448346 51.0353784, -113.9448279 51.0353749)))"
OUTSIDE PEN,1300 ZOO RD NE,1601 MEMORIAL DR NE,SPECIALIZED ZOO BUILDINGS,WARD 9,BRIDGELAND/RIVERSIDE,{5F75A7A4-4431-4DC9-861C-BEC992EC7A28},"MULTIPOLYGON (((-114.0248858 51.0454734, -114.0248596 51.045475, -114.0248427 51.0454811, -114.0248409 51.0454922, -114.024849 51.0455005, -114.024874 51.0455102, -114.0248858 51.0454734)))"
BLACK BEARS VIEWING AREA,1300 ZOO RD NE,1551 MEMORIAL DR NE,SPECIALIZED ZOO BUILDINGS,WARD 9,BRIDGELAND/RIVERSIDE,{540F1D3F-1622-4B4C-9D69-98C4A959E05C},"MULTIPOLYGON (((-114.0252242 51.0449868, -114.0252105 51.0449934, -114.0251839 51.0450064, -114.0251753 51.0450105, -114.0251968 51.0450209, -114.0252165 51.0450223, -114.0252307 51.0450165, -114.0252242 51.0449868)))"
BURNSLAND CEMETERY GAZEBO,#106 3604 BURNSLAND RD SE,3020 SPILLER RD SE,SUN SHELTER,WARD 9,MANCHESTER INDUSTRIAL,{FDA517E3-0AB3-4F00-A9A9-677A0A82B1F9},"MULTIPOLYGON (((-114.0568543 51.0235072, -114.0568389 51.0235148, -114.0568388 51.0235275, -114.0568521 51.0235362, -114.0568712 51.0235359, -114.0568842 51.02353, -114.0568854 51.0235172, -114.0568732 51.0235079, -114.0568543 51.0235072)))"
3215 33A AV SE HOUSING,3215 33A AV SE,3213 33A AV SE,HOUSING - DUPLEX,WARD 9,DOVER,{10CC2586-A750-459B-9547-B53C1CF14092},"MULTIPOLYGON (((-113.9884147 51.0236179, -113.9883464 51.0235708, -113.9882191 51.0236444, -113.9882835 51.0236888, -113.9884147 51.0236179)))"
BONNYBROOK WWTP STORAGE BUILDING,4500 15 ST SE,4500 15 ST SE,STORAGE BUILDING,WARD 9,ALYTH/BONNYBROOK,{86DAB6A3-6F83-41DE-BD05-D77D988D9638},"MULTIPOLYGON (((-114.018692 51.0122445, -114.0186889 51.0121522, -114.018572 51.0121538, -114.0185751 51.0122461, -114.018692 51.0122445)))"
