TYPE,NAME,ADDRESS,COMM_CODE,POINT
Library,Rocky Ridge Library,11300 ROCKY RIDGE RD NW,01K,POINT (-114.2312213 51.157048)
PHS Clinic,Northwest Community Health Centre,109 1829 Ranchlands BV NW,RAN,POINT (-114.1971615 51.1233336)
Community Centre,Elbow Park Community Centre,800 34 AV SW,EPK,POINT (-114.0821755 51.0234619)
Community Centre,Coach Hill/Patterson Heights Community Centre,60 Patterson BV SW,PAT,POINT (-114.1778466 51.0613809)
Community Centre,Lake Bonavista Community Centre,1401 Acadia DR SW,LKB,POINT (-114.0492118 50.9369456)
Community Centre,Hounsfield Heights/Briar Hill Community Centre,1922 14 AV NW,HOU,POINT (-114.1041076 51.0662269)
Library,Sage Hill Library,19 SAGE HILL PS NW,SGH,POINT (-114.1471029 51.1689113)
Community Centre,Monterey Park Community Centre,2707 Catalina BV NE,MOR,POINT (-113.9308847 51.0763543)
Community Centre,Cliffe Bungalow/Mission Community Association,2201 Cliff ST SW,CLI,POINT (-114.0760846 51.0333614)
Court,Alberta Provincial Court (Traffic),# 203-S 601 5 ST SW,DNC,POINT (-114.0741232 51.0469256)
Community Centre,Tuscany Community Centre,212 Tuscany Way NW,TUS,POINT (-114.2456446 51.1245904)
Attraction,Trans Canada Trail Pavillion,Bow River Pathway at 2 ST SW,DNC,POINT (-114.0661323 51.0536706)
Community Centre,Albert Park / Radisson Heights Community Centre,2636 12 AV SE,ALB,POINT (-113.9985557 51.0421298)
Library,Judith Umbach Library,6617 CENTRE ST N,HUN,POINT (-114.0639677 51.1118798)
Community Centre,Glamorgan Community Centre,4207 41 AV SW,GLA,POINT (-114.145169 51.0173615)
Attraction,Scotiabank Saddledome,555 Saddledome RI SE,BLN,POINT (-114.0519704 51.0374013)
Library,Signal Hill Library,5994 SIGNAL HILL CT SW,SIG,POINT (-114.1753628 51.0187998)
Attraction,Devonian Gardens -  The CORE Shopping Centre,317 7 AV SW,DNC,POINT (-114.0690587 51.0465347)
Community Centre,Marlborough Park Community Centre,6021 Madigan DR NE,MPK,POINT (-113.9424869 51.060045)
Community Centre,Arbour Lake Community Centre,12 Arbour Lake DR NW,ARB,POINT (-114.202577 51.1330937)
Community Centre,Parkland Community Centre,505 Parkvalley RD SE,PKL,POINT (-114.0262459 50.918028)
Hospital,South Health Campus,4448 FRONT ST SE,SET,POINT (-113.9517038 50.8821019)
Community Centre,Rosedale Community Centre,901 11 AV NW,RDL,POINT (-114.0814341 51.0621528)
Community Centre,Wildwood Community Centre,4411 Spruce DR SW,WLD,POINT (-114.1508801 51.0518863)
Commercial,Foothills Industrial Park,,,POINT (-113.9707086 50.993174)
Community Centre,Tuxedo Park Community Centre,202 29 AV NE,TUX,POINT (-114.0596401 51.0789177)
Attraction,Inglewood Bird Sanctuary,2425 9 AV SE,ING,POINT (-114.0087424 51.0300958)
Community Centre,Queensland / Diamond Cove Community Centre,649 Queensland DR SE,QLD,POINT (-114.0216631 50.9396008)
Community Centre,Capitol Hill Community Centre,1531 21 AV NW,CAP,POINT (-114.0964586 51.0712757)
Attraction,Contemporary Calgary Art Gallery,701 11 ST SE,DNW,POINT (-114.089174 51.0474531)
Library,Bowness Library,6532 BOWNESS RD NW,BOW,POINT (-114.1830276 51.0873195)
Community Centre,Bankview Community Centre,2418 17 ST SW,BNK,POINT (-114.1014971 51.0325231)
Attraction,The Police Museum,5111 47 ST NE,,POINT (-113.9693896 51.0986893)
Social Dev Ctr,South Area,502 HERITAGE DR SW,KIN,POINT (-114.0743509 50.9831371)
Court,Alberta Court of Appeal,2600 450 1 ST SW,DNC,POINT (-114.0646681 51.0487218)
Community Centre,Windsor Park Community Centre,5304 6 ST SW,WND,POINT (-114.0785467 51.0064037)
Attraction,Butterfield Acres Children's Farm,Rocky Ridge RD & 120 AV NW,02A,POINT (-114.2358294 51.1590196)
Community Centre,Falconridge/Castleridge Community Centre,95 Falshire DR NE,FAL,POINT (-113.946308 51.1045492)
Attraction,Canada's Sports Hall of Fame,169 Canada Olympic Road SW,COP,POINT (-114.2219925 51.0834606)
Commercial,Manchester Industrial Park,,,POINT (-114.0566638 51.0159729)
Community Centre,Mount Pleasant Community Centre,,MOP,POINT (-114.0743356 51.0727586)
Community Centre,Highland Park Community Centre,3716 2 ST NW,HPK,POINT (-114.0662411 51.0853217)
Library,Giuffre Family Library,3223 14 ST SW,SOC,POINT (-114.0955034 51.0254458)
Attraction,Triangle Art Gallery,#104 800 Macleod TR SE,DNC,POINT (-114.0575006 51.0450758)
Community Centre,Rutland Park Community Centre,3130 40 AV SW,RUT,POINT (-114.1352659 51.0183877)
Community Centre,Forest Lawn Community Centre,4020 26 AV SE,FLN,POINT (-113.9768196 51.0308198)
Library,Seton Library,4995 MARKET ST SE,SET,POINT (-113.9441792 50.881189)
Attraction,Southern Alberta Jubilee Auditorium,1415 14 AV NW,HIL,POINT (-114.0922449 51.0636063)
Community Centre,Scenic Acres Community Centre,8825 Scurfield DR NW,SCE,POINT (-114.2147644 51.1217082)
Community Centre,Braeside Community Centre,11024 Braeside DR SW,BRA,POINT (-114.1020364 50.9543461)
Community Centre,Lakeview Community Centre,6110 34 ST SW,LKV,POINT (-114.1361774 50.9983597)
PHS Clinic,Shaganappi Complex Health Centre,3415 - 8 AV SW,SPR,POINT (-114.1368419 51.0448871)
Library,Louise Riley Library,1904 14 AV NW,HOU,POINT (-114.1043482 51.0654572)
PHS Clinic,Village Square Community Health Centre,2623 - 56 ST NE,PIN,POINT (-113.9535557 51.0755389)
Attraction,Rocky Mountaineer Rail Tours,115 9 AV SW,DNC,POINT (-114.0624502 51.0440871)
Community Centre,Ramsay Community Centre,2102 Ramsay Street SE,RAM,POINT (-114.0464908 51.0345902)
Community Centre,Dover Community Centre,3033 30 AV SE,DOV,POINT (-113.9890902 51.026713)
Attraction,Aero Space Museum of Calgary,4629 McCall WY NE,PEG,POINT (-114.01182 51.0940139)
Hospital,Peter Lougheed Medical Centre,3500 - 26 AV NE,SUN,POINT (-113.9839435 51.0790163)
Community Centre,Montgomery Community Centre,5003 - 16 AV NW,MON,POINT (-114.1656058 51.0716085)
Attraction,Calgary Stampeders Football - McMahon Stadium,1817 Crowchild TR NW,UOC,POINT (-114.1182079 51.070405)
Visitor Info,Tourism Calgary Tower,101 9 AV SW,DNC,POINT (-114.063069 51.0443325)
Community Centre,Rundle Community Centre,2409 50 ST NE,RUN,POINT (-113.9619986 51.0746713)
Community Centre,Calgary Marlborough Community Centre,636 Marlborough WY NE,MRL,POINT (-113.9742887 51.0582661)
Community Centre,Highwood Community Centre,16 Harlow AV NW,HIW,POINT (-114.0773512 51.0908119)
Library,Quarry Park Library,108 Quarry Park RD SE,DDG,POINT (-114.0060594 50.9615878)
Community Centre,Shawnessy Community Centre,224 Shawmeadows RD SW,SHN,POINT (-114.0751574 50.906709)
Community Centre,Mount Royal Community Centre,2317 10 ST SW,UMR,POINT (-114.0860568 51.0317348)
Community Centre,Deer Run Community Centre,2223 146 AV SE,DRN,POINT (-114.0079417 50.9217554)
Attraction,Calgary Firefighters Museum,4124 11 ST SE,HIF,POINT (-114.0365779 51.0184669)
PHS Clinic,Sheldon M. Chumir Health Centre,1213 - 4 ST SW,BLN,POINT (-114.0721296 51.0411634)
Community Centre,Saddle Ridge Community Centre,7614 42 ST NE,SRI,POINT (-113.972859 51.1208434)
Community Centre,Temple Community Centre,167 Templegreen RD NE,TEM,POINT (-113.9448539 51.0874093)
Attraction,Shaw Millenium Park,1220 9 AV SW,DNW,POINT (-114.0909273 51.0463376)
Attraction,Heritage Park Historical Village,1900 Heritage Dr SW,GPK,POINT (-114.1082438 50.9848337)
Community Centre,Elboya Heights Community Centre,416 Park AV SW,EYA,POINT (-114.072752 51.0153653)
Court,Alberta Court of Queens Bench,# 604-N 601 5 ST SW,DNC,POINT (-114.0741232 51.0469256)
Community Centre,North Haven Community Centre,5003 North Haven DR NW,NHV,POINT (-114.0866232 51.0990977)
Community Centre,Edgemont Community Centre,33 Edgevalley CI NW,EDG,POINT (-114.1441715 51.1284869)
Community Centre,Haysboro Community Centre,1204 89 AV SW,HAY,POINT (-114.0877857 50.9747455)
Attraction,Scotia Place,,,POINT (-114.0523283 51.0401729)
Community Centre,Hillhurst/Sunnyside Community Centre,1320 5 AV NW,HIL,POINT (-114.0925172 51.0575416)
Attraction,Spruce Meadows Equestrian Centre,18011 Spruce Meadows WY SW,,POINT (-114.0943301 50.8895649)
Community Centre,Oakridge Community Centre,9504 Oakfield DR SW,OAK,POINT (-114.1319952 50.9687664)
Attraction,Calaway Park,Springbank RD & Trans Canada HWY,VAL,POINT (-114.3550483 51.0857401)
Attraction,Eau Claire Market,200 Barclay PR SW,EAU,POINT (-114.0676925 51.0529324)
Community Centre,McKenzie Lake Community Centre,16198 McKenzie Lake WY SE,MCK,POINT (-113.983567 50.9062787)
Community Centre,Brentwood Community Centre,5107 33 ST NW,BRE,POINT (-114.1378448 51.0975032)
PHS Clinic,North Hill Community Health Centre,1527 19 ST NW,HOU,POINT (-114.1065071 51.0653216)
PHS Clinic,East Calgary Health Centre,4715 8 AV SE,FLN,POINT (-113.9672201 51.0450485)
Library,Central Library,800 3 ST SE,DNC,POINT (-114.0551754 51.0455118)
Commercial,Deerfoot Meadows,,,POINT (-114.0420501 50.984225)
Community Centre,Renfrew Community Association,811 Radford RD NE,REN,POINT (-114.0447379 51.060184)
Hospital,Foothills Hospital,1403 - 29 ST NW,STA,POINT (-114.1321766 51.0641829)
Community Centre,Varsity Community Centre,4303 Varsity DR NW,VAR,POINT (-114.1492338 51.0919828)
Social Dev Ctr,North Area,905 30 AV NW,MOP,POINT (-114.0792565 51.079823)
Community Centre,Millican/Ogden/Lynnwood Community Centre,6901 20A ST SE,OGD,POINT (-114.0108514 50.9914714)
Library,Country Hills Library,11950 Country Village Link NE,CHV,POINT (-114.0647513 51.1569306)
Community Centre,Pineridge Community Centre,6024 Rundlehorn DR NE,PIN,POINT (-113.945256 51.071567)
Social Dev Ctr,East Area,1011 52 ST SE,FLN,POINT (-113.9586913 51.0428637)
Community Centre,Penbrooke Meadows Community Centre,6100 8 AV SE,PEN,POINT (-113.9463297 51.0459088)
Visitor Info,Calgary City Hall & Municipal Complex,800 Macleod TR SE,DNC,POINT (-114.0570556 51.045369)
Attraction,Crossroads Market,1235 26 AV SE,AYB,POINT (-114.0346631 51.0304693)
Library,Nicholls Family Library,1421 33 ST SW,RCK,POINT (-114.1358227 51.0404114)
Community Centre,Riverbend Community Centre,19 Rivervalley DR SE,RIV,POINT (-114.0163854 50.9724536)
Community Centre,Bridgeland / Riverside Community Centre,917 Centre Av NE,BRD,POINT (-114.039942 51.050074)
Library,Village Square Library,2623 56 ST NE,PIN,POINT (-113.9545544 51.0753875)
Community Centre,Forest Heights/ Fonda Community Centre,4909 Forego AV SE,FHT,POINT (-113.963017 51.0492163)
Community Centre,Cambrian Heights Community Centre,600 Northmount DR NW,CAM,POINT (-114.087382 51.0868288)
Community Centre,Banff Trail Community Centre,2115 20 AV NW,BNF,POINT (-114.1089218 51.0703032)
Community Centre,Rosscarrock Community Centre,4411 10 AV SW,RCK,POINT (-114.1507529 51.0427976)
Community Centre,Canyon Meadows Community Centre,848 Cantabrian DR SW,CAN,POINT (-114.0788446 50.9462137)
